Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,2019-07-19,0.0030057335,0.0030815139,0.0031667824,0.0028725584
DOGE,2019-07-20,0.0031719105,0.0030057736,0.0031773073,0.0029394743
DOGE,2019-07-21,0.0029901184,0.0031714867,0.0031949612,0.0029393774
DOGE,2019-07-22,0.0029366164,0.0029900802,0.0030775331,0.0028815421
DOGE,2019-07-23,0.002869427,0.0029391389,0.0029712925,0.0027966977
DOGE,2019-07-24,0.0029093949,0.002839101,0.0029156296,0.0027176494
DOGE,2019-07-25,0.0028789121,0.0029093949,0.00301988,0.0028331394
DOGE,2019-07-26,0.0028660943,0.0028789134,0.0029367925,0.0028199887
DOGE,2019-07-27,0.0027606419,0.0029124727,0.0030280893,0.0027282355
DOGE,2019-07-28,0.0028245064,0.0027590025,0.0028450684,0.002683467
DOGE,2019-07-29,0.0027990453,0.0028245047,0.0028729064,0.0027491648
DOGE,2019-07-30,0.00278414,0.0027990865,0.0028583222,0.0027354488
DOGE,2019-07-31,0.0028311552,0.0027841875,0.0029134693,0.0027271698
DOGE,2019-08-01,0.0028466542,0.0028310421,0.0030042085,0.0027912561
DOGE,2019-08-02,0.0029239776,0.0028465704,0.0029677295,0.0028180564
DOGE,2019-08-03,0.0028816177,0.0029240045,0.0029945956,0.0028424975
DOGE,2019-08-04,0.0029254007,0.0028816194,0.0030421583,0.0027971414
DOGE,2019-08-05,0.003063506,0.0029254065,0.0032060817,0.0028842005
DOGE,2019-08-06,0.0028993592,0.0030635476,0.0031745308,0.0028667316
DOGE,2019-08-07,0.0029769738,0.0028992579,0.0030952029,0.0028335411
DOGE,2019-08-08,0.0029257946,0.0029791939,0.0030450914,0.0028063038
DOGE,2019-08-09,0.0029000924,0.0029263318,0.0030191008,0.002825681
DOGE,2019-08-10,0.0028267517,0.0029000924,0.0029618586,0.002743426
DOGE,2019-08-11,0.0029539631,0.0028629972,0.0029600749,0.002808558
DOGE,2019-08-12,0.0028917336,0.0029539224,0.0029594469,0.0028325849
DOGE,2019-08-13,0.002818,0.0028916098,0.0029274819,0.002734728
DOGE,2019-08-14,0.0028331186,0.0028189733,0.0028813244,0.0026414128
DOGE,2019-08-15,0.0026126613,0.0028332998,0.0028338173,0.0025285849
DOGE,2019-08-16,0.0026661825,0.002581822,0.0027176413,0.0024745798
DOGE,2019-08-17,0.0026447008,0.0026662959,0.0026927387,0.0025473832
DOGE,2019-08-18,0.0027001399,0.0026431605,0.0027782006,0.0025617895
DOGE,2019-08-19,0.0027258601,0.0027001675,0.0028652096,0.0026864746
DOGE,2019-08-20,0.002737441,0.002726135,0.002816901,0.0026671253
DOGE,2019-08-21,0.0026846275,0.0027377663,0.0027787833,0.002511834
DOGE,2019-08-22,0.0027131193,0.0026846275,0.002733952,0.002542433
DOGE,2019-08-23,0.0026634305,0.0027132206,0.0027134856,0.0025646469
DOGE,2019-08-24,0.0025810864,0.0026636443,0.0026957707,0.0025239765
DOGE,2019-08-25,0.0026104872,0.0025808636,0.0027116867,0.0025126328
DOGE,2019-08-26,0.0026048923,0.0026099412,0.0027326429,0.00254966
DOGE,2019-08-27,0.002568059,0.0026045641,0.002660834,0.0025408278
DOGE,2019-08-28,0.0024739459,0.0026276239,0.0026320214,0.002439463
DOGE,2019-08-29,0.0024118337,0.0024736539,0.0025235808,0.0023429805
DOGE,2019-08-30,0.0024759454,0.0024118341,0.0024884084,0.0023730032
DOGE,2019-08-31,0.0024841299,0.0024757837,0.0024992031,0.0023968766
DOGE,2019-09-01,0.002513243,0.0024838652,0.0025204682,0.002407486
DOGE,2019-09-02,0.0025963957,0.0025134442,0.0026865539,0.0024399315
DOGE,2019-09-03,0.0026428042,0.0025740706,0.0026643418,0.0024939047
DOGE,2019-09-04,0.0025300078,0.0026429326,0.002643144,0.0024599253
DOGE,2019-09-05,0.0024730659,0.002529953,0.0025418375,0.0024225451
DOGE,2019-09-06,0.0024561499,0.0024730659,0.0025976063,0.0023734453
DOGE,2019-09-07,0.0024367085,0.0024560775,0.0025232747,0.0023463635
DOGE,2019-09-08,0.0024719545,0.0024361025,0.0025371607,0.0024053767
DOGE,2019-09-09,0.002472235,0.0024717959,0.0024860722,0.0023658926
DOGE,2019-09-10,0.0023593843,0.002472235,0.0024772703,0.0023315483
DOGE,2019-09-11,0.002371136,0.0023596046,0.0024408603,0.0023109118
DOGE,2019-09-12,0.0024219107,0.0023711968,0.0024630934,0.0023293297
DOGE,2019-09-13,0.002423526,0.0024218374,0.0024603142,0.0023532401
DOGE,2019-09-14,0.0024026112,0.0024229009,0.0024539241,0.0023730463
DOGE,2019-09-15,0.0024471325,0.0024026105,0.0025528904,0.0023863376
DOGE,2019-09-16,0.0024214851,0.0024471325,0.0024846375,0.0023621471
DOGE,2019-09-17,0.002630235,0.0024214851,0.0026537354,0.0023755687
DOGE,2019-09-18,0.0026985822,0.0026302433,0.0028396709,0.0025578809
DOGE,2019-09-19,0.002687775,0.0026981888,0.0027544753,0.0025203138
DOGE,2019-09-20,0.0027094972,0.0026878082,0.0027337516,0.0026201898
DOGE,2019-09-21,0.0025275421,0.0027094972,0.0027160125,0.0025174189
DOGE,2019-09-22,0.002549384,0.0025280541,0.0026027937,0.0024969131
DOGE,2019-09-23,0.0024684291,0.0025493847,0.0025919007,0.0024289908
DOGE,2019-09-24,0.0021904869,0.0024684064,0.0025062714,0.0019786814
